	SocR10	SocR1	SocR2	SocR3	SocR4	SocR5	SocR6	SocR7	SocR8	SocF10	SocF11	SocF12	SocF14	SocF4	SocF5	SocF6	SocF7	SocF8	SocF9
Lflavo2a012311	2474.73797074719	2505.16408771433	2641.66488363009	2047.53640645798	2284.00472559271	2115.50752428996	2441.77225504817	2881.48937573347	2658.22026293957	2532.29089556839	2712.38559643119	2609.97334238931	2777.04703123377	2102.24356565154	2044.0783915764	3132.43672846469	2419.48825480418	3263.30771262968	2564.61721477773
Lflavo2a012316	301.351856216447	286.834198985141	251.348705758587	294.180648374154	261.64353859281	325.46269604461	243.283530901506	331.987254561185	311.298706963391	339.164680343177	316.353289644611	238.655149985014	291.696656568534	300.446747507996	266.216325063744	252.284444967455	329.742862664965	354.419086632112	280.168267160593
Lflavo2a012274	481.960039403409	471.149710880535	597.829391784369	612.794905417257	353.039569197148	447.726460167188	464.72119372206	466.382094961858	518.831178272319	438.001013572017	416.30258985117	497.621376564498	296.439691634689	383.511436524912	462.213271632414	514.84291710553	1032.50733871967	529.217615753392	320.038366718061
Lflavo2a012243	2294.12978756023	2253.22986731293	2341.24810383895	2588.00783021515	2380.77699329142	2505.54615208946	2644.34303179882	2305.51148830202	2925.30553036323	2020.4227276885	2427.20915272257	2298.9599820365	1662.43379068734	2206.5162603749	2755.53187479023	2449.78470090569	2111.3847675016	1715.43659958332	2466.55832127152
Lflavo2a010862	0	0	0	0	0	0	0	0.799969288099242	0	0	0	0	1.18575876653876	0	0	0	0	0	0
Lflavo2a009499	24.3516651488038	14.1781162996457	12.0166711916456	19.5468869351597	15.2326717673896	14.6372111977734	10.9229340404758	11.1995700333894	31.5810282426629	18.7268841907276	12.8375247971726	27.9277303173953	10.6718288988488	11.4876697576587	12.3462643507823	22.8311714902674	14.4262502415922	15.6715922660458	26.9392564577493
Lflavo2a009500	28.4102760069378	69.7999571674867	33.0458457770254	12.7054765078538	40.321778207796	47.3556832869141	71.4955682649323	60.7976658955424	168.732922325085	26.0095613760105	41.2634725623406	19.041634307315	18.9721402646201	127.248034238681	56.3298311004444	10.2740271706203	100.983751691146	95.2350606936628	25.8616861994393
Lflavo2a006754	0	0	0	0	0	0	0	0	0	0	0.916966056940903	0	0	0.883666904435282	0	0	43.2787507247767	21.6991277529865	0
Lflavo2a006760	4678.56366671394	4932.89384794597	4351.03636064168	4262.19869621158	5218.53413960454	3707.51949515368	4026.59068492084	5141.40261461383	3957.55399635198	5416.23106094043	6954.27057583981	5654.0959469854	5498.36340044021	5504.36114772737	6196.28142104889	7744.33336949871	5029.60910208655	7692.3407884337	7211.10016861033
Lflavo2a006746	592.55718528756	671.82458773706	721.000271498737	728.1215383347	610.202910211313	663.840578440196	666.298976469022	555.978655228973	556.728412163514	573.250732727272	659.298594940509	801.018083194384	712.641018689793	720.188527114755	679.816180814953	711.19099192183	698.642690271395	678.700495829521	620.680468786543
