Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	TALLY
OG0007216	1	0	0	1
OG0007230	1	0	0	1
OG0007248	0	1	0	1
OG0007249	1	0	0	1
OG0007251	0	0	1	1
OG0007256	0	1	0	1
OG0007258	0	0	1	1
OG0007268	0	0	1	1
OG0007285	1	0	0	1
OG0007286	1	0	0	1
OG0007294	1	0	0	1
OG0007317	1	0	0	1
OG0007331	1	0	0	1
OG0007343	1	0	0	1
OG0007344	1	0	0	1
OG0007371	1	0	0	1
OG0007373	1	0	0	1
OG0007379	1	0	0	1
OG0007396	1	0	0	1
OG0007398	1	0	0	1
OG0007400	0	0	1	1
OG0007408	0	1	0	1
OG0007410	0	1	0	1
OG0007416	1	0	0	1
OG0007418	0	0	1	1
OG0007426	1	0	0	1
OG0007468	0	0	1	1
OG0007469	1	0	0	1
OG0007475	0	1	0	1
OG0007478	1	0	0	1
OG0007489	0	1	0	1
OG0007490	0	0	1	1
OG0007492	1	0	0	1
OG0007495	0	0	1	1
OG0007500	1	0	0	1
OG0007509	1	0	0	1
OG0007510	1	0	0	1
OG0007549	0	0	1	1
OG0007559	1	0	0	1
OG0007566	0	0	1	1
OG0007567	1	0	0	1
OG0007568	1	0	0	1
