Orthogroup	Ceratina_australensis	Ceratina_calcarata	Megalopta_genalis	Polistes_canadensis	Polistes_dominula	Liostenogaster_flavolineata	Tally
OG0002695	0	0	0	0	1	0	1
OG0002696	0	0	0	0	0	1	1
OG0002697	0	0	1	0	0	0	1
OG0002732	0	0	1	0	0	0	1
OG0002738	0	0	0	0	1	0	1
OG0002743	1	0	0	0	0	0	1
OG0002747	1	0	0	0	0	0	1
OG0002754	1	0	0	0	0	0	1
OG0002765	0	1	0	0	0	0	1
OG0002770	0	0	0	0	1	0	1
OG0002774	0	0	0	1	0	0	1
OG0002787	0	0	0	0	0	1	1
OG0002792	0	0	0	0	1	0	1
OG0002798	0	0	0	0	1	0	1
OG0002803	1	0	0	0	0	0	1
OG0002804	0	0	0	0	1	0	1
OG0002806	0	1	0	0	0	0	1
OG0002808	0	1	0	0	0	0	1
OG0002810	0	0	1	0	0	0	1
OG0002815	0	0	0	0	1	0	1
OG0002819	0	0	0	0	0	1	1
OG0002821	1	0	0	0	0	0	1
OG0002827	0	0	0	0	1	0	1
OG0002832	1	0	0	0	0	0	1
OG0002838	0	0	1	0	0	0	1
OG0002843	0	0	0	0	1	0	1
OG0002847	0	0	0	0	1	0	1
OG0002849	0	0	1	0	0	0	1
OG0002854	0	1	0	0	0	0	1
OG0002861	0	1	0	0	0	0	1
OG0002863	0	0	0	0	0	1	1
OG0002872	0	0	0	0	1	0	1
OG0002873	0	0	1	0	0	0	1
OG0002874	1	0	0	0	0	0	1
OG0002878	0	0	0	0	0	1	1
OG0002890	0	0	0	0	1	0	1
OG0002893	1	0	0	0	0	0	1
OG0002894	0	0	1	0	0	0	1
OG0002899	0	0	0	0	1	0	1
OG0002912	1	0	0	0	0	0	1
OG0002913	0	0	0	0	1	0	1
OG0002918	0	1	0	0	0	0	1
OG0002921	0	0	0	0	1	0	1
OG0002930	1	0	0	0	0	0	1
OG0002938	0	0	0	0	1	0	1
OG0002940	0	0	0	0	1	0	1
OG0002943	1	0	0	0	0	0	1
OG0002951	0	0	0	0	1	0	1
OG0002953	0	0	0	0	1	0	1
OG0002954	1	0	0	0	0	0	1
OG0002956	0	0	0	0	1	0	1
OG0002967	1	0	0	0	0	0	1
OG0002968	0	1	0	0	0	0	1
OG0002974	0	0	0	0	1	0	1
OG0002976	1	0	0	0	0	0	1
OG0002977	1	0	0	0	0	0	1
OG0002979	0	1	0	0	0	0	1
OG0002984	0	0	0	0	1	0	1
OG0002989	0	1	0	0	0	0	1
OG0002993	0	0	0	0	1	0	1
OG0002999	0	0	0	0	0	1	1
OG0003001	1	0	0	0	0	0	1
OG0003004	0	0	1	0	0	0	1
OG0003005	0	1	0	0	0	0	1
OG0003015	0	0	1	0	0	0	1
OG0003019	0	1	0	0	0	0	1
OG0003028	0	0	0	0	0	1	1
OG0003031	1	0	0	0	0	0	1
OG0003033	0	0	0	0	0	1	1
OG0003038	1	0	0	0	0	0	1
OG0003052	0	0	0	0	1	0	1
OG0003056	0	0	0	0	1	0	1
OG0003057	0	0	0	0	1	0	1
OG0003058	0	1	0	0	0	0	1
OG0003063	1	0	0	0	0	0	1
OG0003064	1	0	0	0	0	0	1
OG0003066	1	0	0	0	0	0	1
OG0003067	1	0	0	0	0	0	1
OG0003068	0	0	0	0	1	0	1
OG0003070	0	0	0	0	1	0	1
OG0003071	0	0	0	0	1	0	1
OG0003090	1	0	0	0	0	0	1
OG0003092	1	0	0	0	0	0	1
OG0003093	0	0	0	0	1	0	1
OG0003096	0	0	1	0	0	0	1
OG0003109	1	0	0	0	0	0	1
OG0003114	0	0	1	0	0	0	1
OG0003119	1	0	0	0	0	0	1
OG0003122	0	0	1	0	0	0	1
OG0003127	0	0	0	0	0	1	1
OG0003133	0	0	0	0	1	0	1
OG0003144	1	0	0	0	0	0	1
OG0003147	0	1	0	0	0	0	1
OG0003148	0	0	0	0	1	0	1
OG0003149	0	1	0	0	0	0	1
OG0003157	0	0	0	0	0	1	1
OG0003168	0	0	1	0	0	0	1
OG0003174	0	0	0	0	1	0	1
OG0003175	1	0	0	0	0	0	1
OG0003177	1	0	0	0	0	0	1
OG0003183	0	0	0	0	1	0	1
OG0003187	0	0	0	0	1	0	1
OG0003191	0	0	0	0	1	0	1
OG0003193	0	1	0	0	0	0	1
OG0003194	0	0	0	0	1	0	1
OG0003197	0	0	0	0	1	0	1
OG0003200	0	0	1	0	0	0	1
OG0003203	0	0	0	0	1	0	1
OG0003207	0	0	0	0	1	0	1
OG0003208	0	0	1	0	0	0	1
OG0003209	1	0	0	0	0	0	1
