Geneid	gene_name	SRR2916631_1Aligned.sortedByCoord.out.bam	SRR2917152_1Aligned.sortedByCoord.out.bam	SRR2916652_1Aligned.sortedByCoord.out.bam	SRR2915407_1Aligned.sortedByCoord.out.bam	SRR2916026_1Aligned.sortedByCoord.out.bam	SRR2916025_1Aligned.sortedByCoord.out.bam	SRR2916647_1Aligned.sortedByCoord.out.bam	SRR2916699_1Aligned.sortedByCoord.out.bam	SRR2917198_1Aligned.sortedByCoord.out.bam	SRR2916637_1Aligned.sortedByCoord.out.bam	SRR2916648_1Aligned.sortedByCoord.out.bam	SRR2916653_1Aligned.sortedByCoord.out.bam
Caust.v2_004569	NA	0	0	0	0	0	0	1	0	1	0	0	0
Caust.v2_004570	NA	0	0	0	1	0	0	3	0	0	0	1	2
Caust.v2_004571	NA	0	3	2	0	3	2	6	2	3	3	6	1
Caust.v2_022287	NA	0	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_019761	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019762	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021459	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020851	NA	0	0	0	1	0	0	0	0	0	0	0	0
Caust.v2_017178	NA	2	1	0	1	2	3	4	1	1	0	6	4
Caust.v2_017179	NA	3	7	1	2	1	2	2	3	8	4	6	4
Caust.v2_017180	NA	0	0	0	0	1	0	0	0	1	0	0	0
Caust.v2_017181	NA	3	0	0	0	0	0	0	0	0	0	0	1
Caust.v2_017182	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019428	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019429	NA	3	2	1	3	1	1	1	5	3	4	6	2
Caust.v2_015408	NA	0	0	0	0	0	0	0	0	1	0	0	0
Caust.v2_015409	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_015410	NA	0	0	0	6	5	7	2	0	1	2	4	1
Caust.v2_015411	NA	0	0	0	0	0	0	0	1	0	0	0	0
Caust.v2_015412	NA	0	0	1	0	0	0	0	0	0	0	0	0
Caust.v2_015413	NA	1	3	1	1	2	0	5	1	3	1	4	0
Caust.v2_015414	NA	2	0	0	0	1	0	0	0	0	0	8	1
Caust.v2_015415	NA	50	66	63	20	72	61	131	24	63	38	150	116
Caust.v2_015416	NA	30	21	9	1	13	15	47	12	32	14	57	39
Caust.v2_015417	NA	0	1	0	0	0	0	0	1	0	0	0	0
Caust.v2_022186	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_019427	NA	0	0	0	0	2	0	0	0	0	0	0	0
Caust.v2_022454	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_017746	NA	1	0	1	0	0	0	0	1	0	0	0	1
Caust.v2_017747	NA	1	1	3	2	2	0	1	3	0	0	0	2
Caust.v2_017748	NA	0	1	0	0	0	0	0	0	0	0	0	0
Caust.v2_017749	NA	82	28	32	14	43	29	51	25	40	38	76	65
Caust.v2_017750	NA	58	34	34	17	33	28	44	22	33	26	69	41
Caust.v2_017751	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_021262	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020182	NA	0	0	0	0	0	0	0	0	0	0	0	0
Caust.v2_020183	NA	0	0	0	0	0	0	0	0	0	0	0	0
